pn,total_unknown_usd_per_pn,total_unknown_qty,lot_count
WDU4ZR,58249511.542080,6000.00,1
SF12IV2,27439799.775258,2800.00,1
WDU4,10553306.728745,100.00,1
WSI6,5833752.990054,1100.00,1
FTAC30016DIFSLIMG3S,2351864.594756,83.00,1
1470G2DR2USBR,1838642.532434,33810.00,1
1990IXR3SERR,1670644.686610,258.75,1
1470G,1069783.056271,32502.00,3
EDA50K0C121NGRR,817581.551282,2120.00,1
645X150,651947.218601,900.00,1
ATR03COLUMN340COMPLETE,521960.359194,144.00,3
470G1472G,502104.142012,2400.00,1
1472G2D2USB5R,477032.402551,983.00,1
CBL500150S00,463988.038462,33402.00,5
2020BGGMNM,463922.769231,149.10,1
I22605,454838.615385,154.20,1
M200EEOLR,412200.845212,11530.00,1
CCPAIL51,392264.269231,78.00,3
EDA51,391988.350496,8437.00,7
PDP04,386355.846154,3.00,2
50147862003R,364571.792473,8820.00,5
MS7820118,280717.948718,4380.00,1
EDA511B663SQGRK,265989.269231,462.00,1
04200A1015,243863.666667,138.00,1
1450G,225734.045351,12293.00,2
CCPUIO31,215238.628205,19.00,5
EDA51K0B931SQGRK,210968.307692,524.00,3
1470G1472G,201249.021156,6043.00,3
PW7K1R2,196692.948718,225.00,3
FTAPKS16DODCFJ6S,196201.462181,5.00,3
240DIN,192773.166667,121.00,2
C8800,148069.653092,20.00,2
FTAPKS16DIFSLIMS,132039.008653,1.00,1
MCX30000Y00,130007.333333,288.00,2
1010924H5,126701.397436,311.00,1
EDA51KHB2,119011.538462,970.00,2
EDA61KHB2,115951.512821,935.00,7
FX808392,103445.346154,17.00,2
MCE612001,103370.910256,1.00,1
BATEDA50K1,102273.602632,350.00,2
ASD1V2COMPLETE,100939.644079,95.00,2
KA30046000007,98903.794872,80.00,3
900J020001,98682.692308,520.50,1
MS3580,93424.230769,3580.00,1
2455R99130401,92865.487179,1002.00,2
STD820,89172.679487,21.00,1
FX808363,88142.538462,179.00,2
CK65BTSC,88032.442308,139.00,1
2MLID22A,86915.410256,54.00,3
VM3001VMCRADLE,83671.756410,81.00,3
