Артикул,Название,Бренд,Изображение,Цена,Валюта,Статус цены,Статус наличия,Описание,Источник описания,Размещение на сайте,Тип товара,Статус изображения,Статус карточки,Причины проверки
010130.10,Модуль Honeywell 010130.10,Honeywell,,21375.0,RUB,public_price,in_stock,"Модуль 4DG/2OP предназначен для интеграции в системы безопасности и автоматизации. Он поддерживает шины BUS-2 и BUS-1, обеспечивая надежную передачу данных и управление различными устройствами.",insales_import_seed,Каталог/Системы безопасности,Модуль,rejected,REVIEW_REQUIRED,NO_IMAGE_EVIDENCE
027913.10,Считыватель Honeywell 027913.10,Honeywell,,44365.0,RUB,public_price,backorder,Считыватель карт luminAXS mifareD предназначен для использования в системах контроля доступа. Он поддерживает интерфейс RS485 и обеспечивает надежное считывание карт стандарта Mifare.,insales_import_seed,Каталог/Системы безопасности,Считыватель,rejected,REVIEW_REQUIRED,NO_IMAGE_EVIDENCE
033588.17,Соединение Honeywell 033588.17,Honeywell,[LOCAL:D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\033588.17__catalog_placeholder_v1__1fba507e.jpg],3135.0,RUB,public_price,backorder,"Шарнирное соединение предназначено для настенного монтажа оборудования. Оно обеспечивает гибкость и надежность установки, что позволяет оптимально настроить положение устройства.",insales_import_seed,Каталог/Промышленная автоматизация,Соединение,placeholder,REVIEW_REQUIRED,LEGACY_AUTO_PUBLISH_HOLDOUT
1000106,Беруши Honeywell 1000106,Honeywell,[LOCAL:D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\1000106__catalog_placeholder_v1__9c3a73ee.jpg],1638.0,RUB,public_price,out_of_stock,"Беруши 304L с шнурком обеспечивают защиту слуха в шумных условиях. Они удобны в использовании и подходят для длительного ношения, что делает их идеальными для промышленных рабочих мест.",insales_import_seed,Каталог/Средства индивидуальной защиты,Беруши,placeholder,REVIEW_REQUIRED,LEGACY_AUTO_PUBLISH_HOLDOUT
1006186,Беруши Honeywell 1006186,Honeywell,[LOCAL:D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\1006186__catalog_placeholder_v1__c8aff4f0.jpg],1794.0,TWD,public_price,in_stock,"Беруши 303L из пеноматериала обеспечивают надежную защиту слуха. Они мягкие и удобные, что позволяет использовать их в течение длительного времени без дискомфорта.",insales_import_seed,Каталог/Средства индивидуальной защиты,Беруши,placeholder,REVIEW_REQUIRED,LEGACY_AUTO_PUBLISH_HOLDOUT
1006187,Беруши Honeywell 1006187,Honeywell,[LOCAL:D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\1006187__catalog_placeholder_v1__f5bb3d50.jpg],17.52,RUB,public_price,in_stock,"Беруши 303S-YEL/WHT предназначены для защиты слуха в шумных условиях. Они легко вставляются и обеспечивают комфортное ношение, что делает их идеальными для использования на производстве.",insales_import_seed,Каталог/Средства индивидуальной защиты,Беруши,placeholder,REVIEW_REQUIRED,LEGACY_AUTO_PUBLISH_HOLDOUT
1011893-RU,Привязь Honeywell 1011893-RU,Honeywell,,4084.0,руб,public_price,in_stock,Страховочная привязь SPERIAN TITAN с одной точкой крепления и поясом обеспечивает безопасность при работе на высоте. Она удобна в использовании и соответствует всем необходимым стандартам безопасности.,insales_import_seed,Каталог/Средства индивидуальной защиты,Привязь,rejected,REVIEW_REQUIRED,NO_IMAGE_EVIDENCE
1011994,Наушники Honeywell 1011994,Honeywell,[LOCAL:D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\1011994__catalog_placeholder_v1__b86fa0e7.jpg],,,no_price_found,unknown,"Наушники противошумные EARMUFF LEIGHTNING L1N с оголовьем на шею обеспечивают защиту слуха в шумных условиях. Они удобны и легки, что делает их идеальными для длительного использования.",insales_import_seed,Каталог/Средства индивидуальной защиты,Наушники,placeholder,REVIEW_REQUIRED,
1012539,Наушники Honeywell 1012539,Honeywell,[LOCAL:D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\1012539__catalog_placeholder_v1__80632546.jpg],1214.1,RUB,public_price,in_stock,Наушники противошумные EARMUFF-LEIGHTNING L1H обеспечивают надежную защиту слуха. Они удобны в ношении и подходят для использования в различных промышленных условиях.,insales_import_seed,Каталог/Средства индивидуальной защиты,Наушники,placeholder,REVIEW_REQUIRED,LEGACY_AUTO_PUBLISH_HOLDOUT
1012541,Наушники Honeywell 1012541,Honeywell,[LOCAL:D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\1012541__catalog_placeholder_v1__637ca5ff.jpg],1515.8,RUB,public_price,out_of_stock,"Наушники противошумные EARMUFF-LEIGHTNING L3H EU обеспечивают максимальную защиту слуха в экстремально шумных условиях. Они удобны и надежны, что делает их идеальными для использования в промышленности.",insales_import_seed,Каталог/Средства индивидуальной защиты,Наушники,placeholder,REVIEW_REQUIRED,
