Артикул,Название,Бренд,Изображение,Цена,Валюта,Статус цены,Статус наличия,Описание,Статус карточки,Причины проверки
010130.10,Модуль 4DG/2OP BUS-2/BUS-1 s.m.,Honeywell,[LOCAL:D:\BIRETOS\projects\biretos-automation\downloads\photos\010130.10.jpg],21375.0,RUB,public_price,in_stock,,REVIEW_REQUIRED,
027913.10,Считыватель карт luminAXS mifareD RS485,Honeywell,[LOCAL:D:\BIRETOS\projects\biretos-automation\downloads\photos\027913.10.jpg],44365.0,RUB,rfq_only,rfq,Авито — Объявления на сайте Авито,REVIEW_REQUIRED,
033588.17,Шарнирное соединение для настенного монтажа,Honeywell,[LOCAL:D:\BIRETOS\projects\biretos-automation\downloads\photos\033588.17.jpg],3135.0,RUB,rfq_only,rfq,,AUTO_PUBLISH,
1000106,Беруши 304L CORDED EARPLUG,Honeywell,[LOCAL:D:\BIRETOS\projects\biretos-automation\downloads\photos\1000106.jpg],1638.0,RUB,public_price,out_of_stock,,AUTO_PUBLISH,
1006186,Беруши 303L FOAMPLUG,Honeywell,[LOCAL:D:\BIRETOS\projects\biretos-automation\downloads\photos\1006186.jpg],22.52,RUB,public_price,in_stock,,AUTO_PUBLISH,
1006187,Беруши 303S-YEL/WHT,Honeywell,[LOCAL:D:\BIRETOS\projects\biretos-automation\downloads\photos\1006187.jpg],17.52,RUB,public_price,in_stock,,AUTO_PUBLISH,
1011893-RU,Страховочная привязь SPERIAN TITAN 1-точечная с поясом,Honeywell,[LOCAL:D:\BIRETOS\projects\biretos-automation\downloads\photos\1011893-RU.jpg],4084.0,руб,public_price,in_stock,,REVIEW_REQUIRED,
1011994,Наушники противошумные EARMUFF LEIGHTNING L1N,Honeywell,[LOCAL:D:\BIRETOS\projects\biretos-automation\downloads\photos\1011994.jpg],,,no_price_found,unknown,,REVIEW_REQUIRED,
1012539,Наушники противошумные EARMUFF-LEIGHTNING L1H,Honeywell,[LOCAL:D:\BIRETOS\projects\biretos-automation\downloads\photos\1012539.jpg],1214.1,RUB,public_price,in_stock,,AUTO_PUBLISH,
1012541,Наушники противошумные EARMUFF-LEIGHTNING L3H EU,Honeywell,[LOCAL:D:\BIRETOS\projects\biretos-automation\downloads\photos\1012541.jpg],,,no_price_found,unknown,,REVIEW_REQUIRED,
1015021,Наушники противошумные EARMUFF-LEIGHTNG L1H HV Hi-Vis,Honeywell,[LOCAL:D:\BIRETOS\projects\biretos-automation\downloads\photos\1015021.jpg],,,no_price_found,unknown,,REVIEW_REQUIRED,
1050000000,Конечная пластина WAP 2.5-10,Honeywell,[LOCAL:D:\BIRETOS\projects\biretos-automation\downloads\photos\1050000000.jpg],29.6,TWD,public_price,in_stock,,AUTO_PUBLISH,
1061200000,"Конечный кронштейн Weidmuller WEW 35/2, бежевый",Honeywell,[LOCAL:D:\BIRETOS\projects\biretos-automation\downloads\photos\1061200000.jpg],224.2,RUB,public_price,in_stock,,AUTO_PUBLISH,
129464N/U,Миниатюрная трубка Honeywell Mini Peeper 129464N/U,Honeywell,[LOCAL:D:\BIRETOS\projects\biretos-automation\downloads\photos\129464N_U.jpg],49966.4,RUB,category_mismatch_only,unknown,,REVIEW_REQUIRED,category_mismatch; mismatch_blocks_publish
129625-L3,Набор для подключения Honeywell GasAlert Series IR 129625-L3,Honeywell,[LOCAL:D:\BIRETOS\projects\biretos-automation\downloads\photos\129625-L3.jpg],,,no_price_found,unknown,,REVIEW_REQUIRED,
