part_number,raw_photo_path,raw_width,raw_height,min_dimension,bucket,enhanced_photo_path,enhanced_generated,photo_ready_for_future_cloud,next_action
00020211,D:\BIRETOS\projects\biretos-automation\downloads\photos\00020211.jpg,149,220,149,tiny_quarantine,,False,False,re_search_required
010130.10,D:\BIRETOS\projects\biretos-automation\downloads\photos\010130.10.jpg,1280,720,720,good_quality,,False,False,manual_review
027913.10,D:\BIRETOS\projects\biretos-automation\downloads\photos\027913.10.jpg,3682,3726,3682,good_quality,,False,False,manual_review
033588.17,D:\BIRETOS\projects\biretos-automation\downloads\photos\033588.17.jpg,750,422,422,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\033588.17__catalog_placeholder_v1__1fba507e.jpg,True,True,keep_enhanced
1000106,D:\BIRETOS\projects\biretos-automation\downloads\photos\1000106.jpg,344,426,344,needs_upscale,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\1000106__catalog_placeholder_v1__9c3a73ee.jpg,True,False,upscale_then_review
1006186,D:\BIRETOS\projects\biretos-automation\downloads\photos\1006186.jpg,1200,744,744,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\1006186__catalog_placeholder_v1__c8aff4f0.jpg,True,True,keep_enhanced
1006187,D:\BIRETOS\projects\biretos-automation\downloads\photos\1006187.jpg,700,784,700,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\1006187__catalog_placeholder_v1__f5bb3d50.jpg,True,True,keep_enhanced
1011893-RU,D:\BIRETOS\projects\biretos-automation\downloads\photos\1011893-RU.jpg,311,650,311,needs_upscale,,False,False,upscale_then_review
1011894-RU,D:\BIRETOS\projects\biretos-automation\downloads\photos\1011894-RU.jpg,320,450,320,needs_upscale,,False,False,upscale_then_review
1011994,D:\BIRETOS\projects\biretos-automation\downloads\photos\1011994.jpg,1000,1000,1000,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\1011994__catalog_placeholder_v1__b86fa0e7.jpg,True,True,keep_enhanced
