pn_id,vol_raw_usd,vol_norm,lot_count,breadth_norm,line_count,avg_line_usd,ticket_norm,cat_liq_norm,pn_liquidity,flags
94000A1006,238348.179487,0.964037,6,0.600000,7,34049.739927,1.000000,0.750000,0.817413,
TC806ES1012,129984.490986,0.869255,6,0.600000,6,21664.081831,1.000000,0.710000,0.776239,
CPOPC400,15835487.179487,1.000000,5,0.500000,11,1439589.743590,1.000000,0.600000,0.770000,
EDA51,391988.350496,1.000000,7,0.700000,21,18666.111928,1.000000,0.300000,0.770000,CAT_UNKNOWN_HEAVY
PW5K1ENC3E,81810.935897,0.796876,9,0.900000,13,6293.148915,1.000000,0.300000,0.758907,CAT_UNKNOWN_HEAVY
XS82425,167150.217949,0.908567,4,0.400000,13,12857.709073,1.000000,0.660000,0.719998,
EDA61KHB2,115951.512821,0.851396,7,0.700000,10,11595.151282,1.000000,0.300000,0.717989,CAT_UNKNOWN_HEAVY
50147862003R,364571.792473,1.000000,5,0.500000,6,60761.965412,1.000000,0.300000,0.710000,CAT_UNKNOWN_HEAVY
BWC4YR,387739.500000,1.000000,2,0.200000,2,193869.750000,1.000000,0.750000,0.710000,
CBL500150S00,463988.038462,1.000000,5,0.500000,15,30932.535897,1.000000,0.300000,0.710000,CAT_UNKNOWN_HEAVY
CCPCF901,3432371.051282,1.000000,2,0.200000,2,1716185.525641,1.000000,0.710000,0.702000,
MCXLXW00YRU,148468.081462,0.890039,3,0.300000,4,37117.020366,1.000000,0.750000,0.701514,
CCPUIO31,215238.628205,0.948095,5,0.500000,6,35873.104701,1.000000,0.300000,0.691833,CAT_UNKNOWN_HEAVY
S080045000,82760.128205,0.798679,4,0.400000,4,20690.032051,1.000000,0.683726,0.686283,
C6097A2410B,921170.282407,1.000000,1,0.100000,1,921170.282407,1.000000,0.750000,0.680000,
C6097A4210B,1884754.666667,1.000000,1,0.100000,1,1884754.666667,1.000000,0.750000,0.680000,
B501AP,35618.448718,0.666884,6,0.600000,12,2968.204060,0.886762,0.660000,0.678424,
FX808332,36016.102564,0.668620,5,0.500000,5,7203.220513,1.000000,0.710000,0.676017,
ESMI22051EI,180355.052308,0.920453,2,0.200000,2,90177.526154,1.000000,0.710000,0.674159,
TC806ES1012IV,47157.294872,0.710753,5,0.500000,16,2947.330929,0.885229,0.710000,0.673548,
MCXLXW0MYRU,77167.301538,0.787741,3,0.300000,3,25722.433846,1.000000,0.750000,0.665709,
TC840C3206IV,88002.564103,0.808280,3,0.300000,3,29334.188034,1.000000,0.710000,0.664898,
CPORL4,205007.397436,0.940481,2,0.200000,2,102503.698718,1.000000,0.600000,0.659168,
ECO1003M,44246.397436,0.700793,4,0.400000,6,7374.399573,1.000000,0.710000,0.657277,
MCXL0W0MYRU,65434.259768,0.761958,3,0.300000,3,21811.419923,1.000000,0.750000,0.656685,
MCXV0000Y00,196602.051282,0.933937,2,0.200000,2,98301.025641,1.000000,0.596283,0.656135,
1470G,1069783.056271,1.000000,3,0.300000,3,356594.352090,1.000000,0.300000,0.650000,CAT_UNKNOWN_HEAVY
ATR03COLUMN340COMPLETE,521960.359194,1.000000,3,0.300000,3,173986.786398,1.000000,0.300000,0.650000,CAT_UNKNOWN_HEAVY
CCPAIL51,392264.269231,1.000000,3,0.300000,5,78452.853846,1.000000,0.300000,0.650000,CAT_UNKNOWN_HEAVY
CPOPC200,885262.095875,1.000000,1,0.100000,1,885262.095875,1.000000,0.600000,0.650000,
FX808324,67155.409091,0.766017,6,0.600000,19,3534.495215,0.924679,0.300000,0.646808,CAT_UNKNOWN_HEAVY
TC806EIS1012,61465.846154,0.752178,3,0.300000,6,10244.307692,1.000000,0.710000,0.645262,
TC809E1043,60549.641026,0.749830,6,0.600000,16,3784.352564,0.939511,0.300000,0.643367,CAT_UNKNOWN_HEAVY
PC42TPE01313,112573.061235,0.846773,5,0.500000,9,12508.117915,1.000000,0.220000,0.640371,
TC810E1040,28669.153846,0.632955,5,0.500000,11,2606.286713,0.858526,0.660000,0.632313,
