ranking,rank,pn,total_effective_usd,lot_count,line_count
top_usd,1,WDU4ZR,58249511.542080,1,1
top_usd,2,SF12IV2,27439799.775258,1,1
top_usd,3,WDU4,10553306.728745,1,1
top_usd,4,WSI6,5833752.990054,1,3
top_usd,5,FTAC30016DIFSLIMG3S,2351864.594756,1,2
top_usd,6,1470G2DR2USBR,1838642.532434,1,23
top_usd,7,1990IXR3SERR,1670644.686610,1,1
top_usd,8,1470G,1069783.056271,3,3
top_usd,9,EDA50K0C121NGRR,817581.551282,1,8
top_usd,10,645X150,651947.218601,1,1
top_usd,11,ATR03COLUMN340COMPLETE,521960.359194,3,3
top_usd,12,470G1472G,502104.142012,1,1
top_usd,13,1472G2D2USB5R,477032.402551,1,2
top_usd,14,CBL500150S00,463988.038462,5,15
top_usd,15,2020BGGMNM,463922.769231,1,1
top_usd,16,I22605,454838.615385,1,1
top_usd,17,M200EEOLR,412200.845212,1,1
top_usd,18,CCPAIL51,392264.269231,3,5
top_usd,19,EDA51,391988.350496,7,21
top_usd,20,PDP04,386355.846154,2,3
top_freq,1,PW5K1ENC3E,81810.935897,9,13
top_freq,2,P2213T,6940.680668,9,18
top_freq,3,EDA51,391988.350496,7,21
top_freq,4,EDA61KHB2,115951.512821,7,10
top_freq,5,100PRS,32881.869227,7,16
top_freq,6,P2212HB,879.684615,7,9
top_freq,7,FX808324,67155.409091,6,19
top_freq,8,TC809E1043,60549.641026,6,16
top_freq,9,1013431RU,48496.307692,6,13
top_freq,10,CBL500150S00,463988.038462,5,15
top_freq,11,50147862003R,364571.792473,5,6
top_freq,12,CCPUIO31,215238.628205,5,6
top_freq,13,XS823,59289.850910,5,11
top_freq,14,1011894RU,45105.000000,5,12
top_freq,15,FCRUSIO3224,42792.166667,5,5
top_freq,16,6500MMK,38110.650498,5,8
top_freq,17,LSC506,30831.192308,5,8
top_freq,18,WB1APIV,27488.038462,5,6
top_freq,19,XS82122,26347.910256,5,14
top_freq,20,XF823A,24716.756410,5,8
