pn_id,vol_raw_usd,vol_norm,lot_count,breadth_norm,line_count,avg_line_usd,ticket_norm,cat_liq_norm,pn_liquidity,flags
94000A1006,185911.580000,0.925197,6,0.600000,7,26558.797143,1.000000,0.750000,0.803819,
CPOPC400,12351680.000000,1.000000,5,0.500000,11,1122880.000000,1.000000,0.600000,0.770000,
EDA51,305750.913387,1.000000,7,0.700000,21,14559.567304,1.000000,0.300000,0.770000,CAT_UNKNOWN_HEAVY
TC806ES1012,101387.902969,0.830414,6,0.600000,6,16897.983828,1.000000,0.710000,0.762645,
PW5K1ENC3E,63812.530000,0.758035,9,0.900000,13,4908.656154,0.995996,0.300000,0.744712,CAT_UNKNOWN_HEAVY
BWC4YR,302436.810000,1.000000,2,0.200000,2,151218.405000,1.000000,0.750000,0.710000,
CBL500150S00,361910.670000,1.000000,5,0.500000,15,24127.378000,1.000000,0.300000,0.710000,CAT_UNKNOWN_HEAVY
50147862003R,284365.998129,0.991633,5,0.500000,6,47394.333021,1.000000,0.300000,0.707072,CAT_UNKNOWN_HEAVY
XS82425,130377.170000,0.869726,4,0.400000,13,10029.013077,1.000000,0.660000,0.706404,
EDA61KHB2,90442.180000,0.812555,7,0.700000,10,9044.218000,1.000000,0.300000,0.704394,CAT_UNKNOWN_HEAVY
CCPCF901,2677249.420000,1.000000,2,0.200000,2,1338624.710000,1.000000,0.710000,0.702000,
MCXLXW00YRU,115805.103541,0.851198,3,0.300000,4,28951.275885,1.000000,0.750000,0.687919,
C6097A2410B,718512.820278,1.000000,1,0.100000,1,718512.820278,1.000000,0.750000,0.680000,
C6097A4210B,1470108.640000,1.000000,1,0.100000,1,1470108.640000,1.000000,0.750000,0.680000,
CCPUIO31,167886.130000,0.909254,5,0.500000,6,27981.021667,1.000000,0.300000,0.678239,CAT_UNKNOWN_HEAVY
S080045000,64552.900000,0.759838,4,0.400000,4,16138.225000,1.000000,0.683726,0.672689,
FX808332,28092.560000,0.629779,5,0.500000,5,5618.512000,1.000000,0.710000,0.662423,
