rank,lot_id,score_10,abs_score_100,confidence_score,final_score,core_ratio,total_effective_usd,hhi,short_reason,red_flags,FAS_v4,AQ_v4,Top_Loss_Reasons,Zone_v4,is_hvl
28,1,5.84,79.972403,0.4,0.531221,0.980168,17798228.264564,0.355884,strong_ticket_size; high_value_density,"concentration>30%,toxic_fake:16",24.386456,63.161475,"M_Lifecycle:44%, m_tail:37%, m_concentration:18%",WEAK,True
1,10,7.85,87.740973,0.4,0.752146,0.861342,3184705.758244,0.304711,strong_ticket_size; high_value_density,"concentration>30%,toxic_fake:7",47.652504,81.970956,"m_tail:66%, M_Unknown:18%, m_concentration:16%",REVIEW,True
15,11,6.81,81.072222,0.6,0.636366,0.890266,905669.937328,0.106357,strong_ticket_size; high_value_density,,30.512559,63.658013,"m_tail:49%, M_Lifecycle:44%, M_Unknown:8%",WEAK,True
19,12,6.55,75.109457,0.8,0.608187,0.741623,687789.994483,0.03198,strong_ticket_size; high_value_density,toxic_fake:5,12.441103,71.074149,"M_Unknown:69%, m_tail:20%, m_hustle:9%",WEAK,True
17,13,6.58,74.357525,0.8,0.611507,0.74318,649737.739724,0.04409,strong_ticket_size; high_value_density,toxic_fake:5,10.898669,67.912521,"M_Unknown:66%, m_tail:19%, M_Lifecycle:9%",WEAK,True
7,14,7.05,74.168702,0.6,0.662916,0.890128,2571083.158862,0.288843,strong_ticket_size; high_value_density,toxic_fake:7,13.360931,70.435237,"M_Unknown:72%, m_tail:21%, m_concentration:4%",WEAK,True
24,15,6.43,85.272766,0.6,0.595093,0.783594,1068716.365652,0.456555,strong_ticket_size; high_value_density,"concentration>30%,toxic_fake:16",33.144593,86.43086,"m_concentration:39%, m_tail:37%, M_Unknown:24%",WEAK,True
8,16,7.05,72.331772,0.8,0.662365,0.803724,215522.158989,0.048778,strong_ticket_size; high_value_density,toxic_fake:1,12.579005,69.02401,"M_Unknown:71%, m_tail:21%, M_Lifecycle:6%",WEAK,True
14,17,6.84,75.044692,0.6,0.63989,0.901428,2679362.34556,0.213542,strong_ticket_size; high_value_density,toxic_fake:17,9.611209,64.029477,"M_Unknown:63%, m_tail:19%, M_Lifecycle:18%",WEAK,True
22,18,6.5,80.527168,0.8,0.602853,0.832166,6699033.383043,0.094787,strong_ticket_size; high_value_density,toxic_fake:25,23.313444,60.335,"M_Lifecycle:62%, m_tail:38%, KS_liquidity:-0%",WEAK,True
13,19,6.85,74.305252,0.8,0.640534,0.788126,1218072.390254,0.077386,strong_ticket_size; high_value_density,toxic_fake:7,9.664702,64.101438,"M_Unknown:64%, m_tail:19%, M_Lifecycle:18%",WEAK,True
26,2,6.3,81.254197,0.4,0.580992,0.874399,33875240.756732,0.302442,strong_ticket_size; high_value_density,"concentration>30%,toxic_fake:26",26.42999,63.06579,"M_Lifecycle:50%, m_tail:41%, m_concentration:9%",WEAK,True
29,20,5.66,70.845982,0.4,0.511428,0.884469,573759.243511,0.435368,strong_ticket_size; high_value_density,"concentration>30%,toxic_fake:2",10.441401,70.871805,"M_Unknown:63%, m_tail:19%, m_concentration:17%",WEAK,True
11,21,6.93,73.798224,0.8,0.649914,0.826637,324986.495667,0.04823,strong_ticket_size; high_value_density,toxic_fake:4,12.982868,69.799613,"M_Unknown:72%, m_tail:21%, m_hustle:4%",WEAK,True
31,22,4.93,75.897304,0.8,0.43469,0.809983,903340.551217,0.464509,strong_ticket_size; high_value_density,"concentration>30%,toxic_fake:1",17.291158,64.135154,"M_Lifecycle:32%, m_concentration:30%, m_tail:27%",WEAK,True
23,23,6.49,70.996811,0.8,0.600894,0.7375,504531.406229,0.029069,strong_ticket_size; high_value_density,toxic_fake:2,10.882211,67.325,"M_Unknown:66%, m_tail:20%, M_Lifecycle:8%",WEAK,True
21,24,6.54,79.996177,0.8,0.607015,0.79329,2210770.542588,0.157216,strong_ticket_size; high_value_density,toxic_fake:12,23.438306,60.797234,"M_Lifecycle:59%, m_tail:37%, M_Unknown:4%",WEAK,True
3,25,7.28,72.333078,0.8,0.688519,0.841987,434343.585077,0.134822,strong_ticket_size; high_value_density,toxic_fake:1,13.180909,68.923748,"M_Unknown:73%, m_tail:22%, M_Lifecycle:6%",WEAK,True
10,26,6.97,68.036969,1.0,0.654405,0.809674,1382682.095381,0.254363,strong_ticket_size; high_value_density,toxic_fake:18,11.824721,65.905989,"M_Unknown:70%, m_tail:21%, M_Lifecycle:9%",WEAK,True
16,27,6.59,62.316518,0.8,0.612689,0.777862,896445.744164,0.058021,strong_ticket_size; toxic_fake_tail:15,toxic_fake:15,11.076779,61.333215,"M_Unknown:70%, m_tail:21%, M_Lifecycle:9%",WEAK,True
20,28,6.55,62.661388,0.8,0.607343,0.781238,549764.042726,0.109738,strong_ticket_size; toxic_fake_tail:15,toxic_fake:15,10.987883,60.840993,"M_Unknown:70%, m_tail:21%, M_Lifecycle:9%",WEAK,True
5,29,7.24,68.142151,0.8,0.683449,0.805187,230237.696022,0.260651,strong_ticket_size; toxic_fake_tail:6,toxic_fake:6,32.554276,69.757468,"M_Unknown:51%, m_tail:47%, m_concentration:2%",WEAK,True
2,3,7.58,84.750585,0.8,0.722366,0.847751,2869639.370776,0.297867,strong_ticket_size; high_value_density,toxic_fake:7,37.135036,77.915587,"m_tail:48%, M_Unknown:42%, m_concentration:10%",REVIEW,True
27,30,6.19,57.126828,0.8,0.568913,0.814137,671721.999294,0.250353,strong_ticket_size; toxic_fake_tail:8,toxic_fake:8,11.306296,57.05237,"M_Unknown:74%, m_tail:22%, M_Lifecycle:4%",WEAK,True
32,31,3.97,63.515479,0.4,0.337044,0.978012,9206412.595694,0.803012,strong_ticket_size; high_value_density,"concentration>30%,toxic_fake:27",6.09781,67.41711,"M_Unknown:50%, m_concentration:29%, m_tail:15%",WEAK,True
12,32,6.86,66.629322,0.6,0.641952,0.934064,1763800.053112,0.033529,strong_ticket_size; high_value_density,toxic_fake:21,11.60173,64.239924,"M_Unknown:70%, m_tail:21%, M_Lifecycle:9%",WEAK,True
30,33,4.93,65.123015,0.4,0.435505,0.987503,72291389.810644,0.485407,strong_ticket_size; high_value_density,"concentration>30%,toxic_fake:12",7.865445,67.325,"M_Unknown:56%, m_concentration:20%, m_tail:17%",WEAK,True
