ID товара;Название товара или услуги;Название товара в URL;URL;Дополнительное описание;Описание;Видимость на витрине;Применять скидки;Тег title;Мета-тег keywords;Мета-тег description;Размещение на сайте;Весовой коэффициент;Валюта склада;НДС;Единица измерения;Габариты;Изображения;Ссылка на видео;Средний рейтинг;Количество отзывов;Свойство: Номинальный ток, А;Свойство: Количество полюсов;Свойство: Гарантия;Свойство: Единиц в одном товаре;Свойство: Количество фаз;Свойство: Номинальная отключающая способность, кA;Свойство: Размеры, мм;Свойство: Ссылка на сертификаты;Свойство: Партномер;ID варианта;Артикул;Штрих-код;Внешний ID;Габариты варианта;Цена продажи;Старая цена;Себестоимость;Остаток;Остаток: Основной склад;Остаток: Али;Вес;Изображения варианта;Тип цен: маркетплейс;Тип цен: Авито;Параметр: Тип товара;Параметр: Бренд;Параметр: Страна производства;Параметр: Степень защиты IP;Параметр: Цвет корпуса;Параметр: Минимальная рабочая температура;Параметр: Максимальная рабочая температура;Параметр: Длина;Параметр: Ширина;Параметр: Высота;Параметр: Вес с упаковкой, г;Параметр: Модель;Параметр: Партномер;Параметр: Номинальный ток, А;Параметр: Серии;Параметр: Коммерческий тип;Параметр: Объем;Параметр: Вес товара, г;Параметр: Гарантийный срок;Параметр: Цвет товара;Параметр: Использовать шаблонизатор наименований;Параметр: Гарантия;Параметр: Класс защиты;Параметр: Количество фаз;Параметр: Единиц в одном товаре;Параметр: Макс. напряжение, В;Параметр: Количество модулей;Параметр: Тип расцепления;Параметр: Номинальная отключающая способность, кA;Параметр: Тип тока;Параметр: Номинальное напряжение, В;Параметр: Количество заводских упаковок;Параметр: Комплектация;Параметр: Количество полюсов;Параметр: Макс. сила тока, А;Параметр: Размеры, мм;Параметр: Материал;Параметр: Тип цоколя;Параметр: Свет;Параметр: Технология;Параметр: Форма лампочки;Параметр: Напряжение питания, В;Параметр: Упаковка;Параметр: Назначение лампы;Параметр: Место применения;Параметр: Диаметр, мм;Параметр: Назначение;Параметр: Тип электронного модуля;Параметр: Напряжение, В;Параметр: Расположение выходной резьбы;Параметр: Входная резьба;Параметр: Макс. давление, Бар;Параметр: Макс. рабочая температура, °С;Параметр: Диаметр резьбы;Параметр: Макс. сечение кабеля, мм²;Параметр: Мин. сечение кабеля, мм²;Параметр: Тип выключателя;Параметр: Мощность, кВт;Параметр: Степень водо-пылезащиты;Параметр: Назначение прибора;Параметр: Вид измерительного инструмента;Параметр: Макс. температура, °С;Параметр: Мин. температура, °С;Параметр: Принцип работы толщиномера;Параметр: Погрешность измерения;Параметр: Принцип действия;Параметр: Монтаж;Параметр: Высота, мм;Параметр: Глубина, мм;Параметр: Тип механизма;Параметр: Вид замка;Параметр: Двигатель для садовой техники;Параметр: Рабочее напряжение, В;Параметр: Степень защиты;Параметр: Тип управления;Параметр: Способ монтажа;Параметр: Особенности;Параметр: ток утечки;Параметр: Мощность, Вт;Параметр: Ориентация монтажа;Параметр: Возрастные ограничения;Параметр: Жанр ПО;Параметр: Тип носителя;Параметр: category;Параметр: Серийный номер / Штрих-код / EAN;Параметр: GoodsType;Параметр: ToolType;Параметр: GoodsSubType;Параметр: WeldingToolType;Параметр: HandToolType;Параметр: PowerToolType;Параметр: MeasuringToolType;Параметр: ElectricalToolType;Параметр: PlumbingType;Параметр: ContactMethod;Параметр: TypeId;Параметр: ProductType;Параметр: Сколы или царапины;Параметр: Сертификаты;Параметр: ToolSubType;Параметр: GoodsPromType;Параметр: PrivodType;Параметр: PriceWithVAT;Параметр: Country;Параметр: ComponentsType;Параметр: Condition;Параметр: Коробка;Параметр: Availability;Параметр: invoice;Параметр: Название модели (для объединения в одну карточку);Параметр: IzmerenieType;Параметр: SparePartType;Параметр: TechnicSparePartType;Параметр: adtype;Параметр: ТН ВЭД коды ЕАЭС;Параметр: nasostype;Параметр: Класс опасности товара;Параметр: Вид аксессуара для клемм;Параметр: Цвет свечения;Параметр: Сила тока, mA;Параметр: Сила света, мкд;Параметр: LiftingType;Параметр: StackerType;Параметр: LigitingType;Параметр: Количество клавиш;Параметр: Температура света, К;Параметр: Аннотация;Параметр: Название серии;Параметр: Целевая аудитория;Параметр: Крепление;Параметр: Уценка (Ozon);Параметр: Принцип действия УЗО;Параметр: Количество в упаковке, шт;Параметр: Расположение резьбы;Параметр: Выходная резьба;Параметр: Внутренний диаметр, мм;Параметр: Название цвета;Параметр: Способ очистки;Параметр: Материал прокладки;Параметр: Ключевые слова;Параметр: Внешний диаметр, мм;Параметр: Управление краном;Параметр: Назначение крана;Параметр: Тип подключения крана;Параметр: Номинальное давление (PN);Параметр: Тип вентиля;Параметр: Кол-во постов;Параметр: Условный проход, мм;Параметр: Тип фитинга;Параметр: Соединение;Параметр: Применение фитинга;Параметр: Назначение фитинга;Параметр: Американка;Параметр: Диаметр присоединения, мм;Параметр: Диаметр отвода, мм;Параметр: Форма маховика;Параметр: Вид питания;Параметр: Количество ламп, шт;Параметр: Длина, м;Параметр: Количество светодиодов на метр;Параметр: Управление;Параметр: Защищенность;Параметр: Макс. мощность ламп, Вт;Параметр: Вид ИБП;Параметр: Тип оповещателя;Параметр: Для управления;Параметр: Вид модуля;Параметр: Поддерживаемые протоколы;Параметр: Датчики;Параметр: Беспроводные интерфейсы;Параметр: Диаметр трубки, мм;Параметр: Вид запчасти;Параметр: Тип комплектующего для КИПиА;Параметр: Тип весов;Параметр: Поддерживаемые бренды;Параметр: Вид комплектующего для вентиляции;Параметр: Вид аксессуара бытовой техники;Параметр: Кол-во розеток;Параметр: Электроустановочные особенности;Параметр: Вид розетки;Параметр: Вид работы вентилятора;Параметр: Длина, мм;Параметр: Вес товара, г_4383;Параметр: Сертификат вид;Параметр: Форм-фактор;Параметр: Тип накопителя;Параметр: ElectricsSubType;Параметр: ProductSubType;Параметр: PlumbingSubType;Параметр: ValveType;Параметр: Diameter;Параметр: ElectricsType;Параметр: DeviceType;Параметр: ProductsType;Параметр: Brand;Параметр: Voltage;Параметр: PhaseType;Параметр: RatedCurrent;Параметр: Poles;Параметр: TrippingType;Параметр: SmartHome;Параметр: Model;Параметр: AirConditionerType;Параметр: AirConditionerSubType;Параметр: Категория Яндекс Маркета;Параметр: Категория товара в Google;Параметр: Категория товара в Wildberries;Параметр: Категория товара в OZON
;combination frames, 2 gang, pure white high-gloss;;;;<p>Датчик температуры D 20.672.022 T используется для измерения температуры в промышленных системах. Он обеспечивает высокую точность и надежность измерений, что делает его идеальным для использования в автоматизированных системах управления.</p>;true;true;;;;Каталог/Электрика/Электроустановочные изделия;;;;;;https://www.voltking.de/media/image/product/63898/xs/peha-00020211-nova-rahmen-2-fach-reinweiss.jpg;;;;;;;;;;;;;;00020211;4010105020212;;;;;;;;;;;;;;PEHA;;IP20;;;;;;;;;00020211;;NOVA;;;;;White;;;;;;;;;;;;;;;;154 x 83 mm;Plastic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;4MG/2A Modul BUS-2/BUS-1, aP;;;;<p>Модуль 010130.10 предназначен для расширения охранных панелей MB-Secure или MB12/24/48/100/256 plus посредством подключения по шине BUS. Обеспечивает 4 входа групп детекторов с функцией сброса и 2 транзисторных выхода (макс. 30 В пост. тока / 50 мА на выход), совместим с любой панелью стандарта BUS-2 или BUS-1.</p>;true;true;;;;Каталог/Строительство и Ремонт/ОПС/Извещатели/Пожарные;;;;;;https://honeywell.roteiv-shop.de/media/e7/ff/12/1774609009/art_18651.jpg?ts=1774609009;;;;;;;;;;;;;;010130.10;;;;21420;;;;;;;;;;;Esser;;;;;;;;;;;010130.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MB-Secure PRO Base Board;;;;<p>Высокозащищенный бесконтактный считыватель для карт Mifare DESFire с интерфейсом RS-485. Устройство оснащено многоцветным световым кольцом и встроенным зуммером для индикации доступа. Обладает степенью защиты IP65 и вандалозащищенным корпусом для наружной установки. Поддерживает дальность считывания до 3 см и работает в температурном диапазоне от \-25 до \+65 °C.</p>;true;true;;;;Каталог/Строительство и Ремонт/ОПС/Извещатели/Пожарные;;;;;;https://www.security.honeywell.de/prodisPictures/Picture_Database/Picture_Line_NA/Sub_product/Product_Picture/Web_Large_Pic/ZK027913_xxxxx_GZPE_SF3C.jpg;;;;;;;;;;;;;;027913.10;;;;53802;;;;;;;;;;;Esser;;;;;;;;;;;027913.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;WINMAG plus installation medium;;;;<p>Регулируемый кронштейн для точной установки извещателей движения серий Viewguard и SCM. Позволяет изменять угол обзора детектора по горизонтали и вертикали для исключения мертвых зон в охраняемом помещении.7</p>;true;true;;;;Каталог/Строительство и Ремонт/ОПС/Извещатели/Пожарные;;;;;;https://cdn.productimages.abb.com/9PAA00000071734_400x400.jpg;;;;;;;;;;;;;;033588.17;;;;3465;;;;;;;;;;;Esser;;;;;;;;;;;033588.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bilsom 304L Foamplug (Corded);;;;<p>Одноразовые противошумные вставки из мягкого полиуретана с высокой степенью ослабления шума. Гладкая, грязеотталкивающая поверхность предотвращает накопление загрязнений и обеспечивает комфорт при длительном ношении.1</p>;true;true;;;;Каталог/Строительство и Ремонт/Спецодежда/Защита слуха;;;;;;https://www.modern-eastern.com/content/product_images/8808176105869.jpg;;;;;;;;;;;;;;1000106;7312553041106;;;;;;;;;0.48;;;;;Howard Leight;;;;;;;;;;;1000106;;Bilsom 300 Series;;;0.48;;;;;;;;;;;;;;;;;;;Polyurethane Foam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;HL400™-AM ANTIMICROBIAL-PROTECTED DISPENSER;;;;<p>Беруши 303L из пеноматериала обеспечивают надежную защиту слуха. Они мягкие и удобные, что позволяет использовать их в течение длительного времени без дискомфорта.</p>;true;true;;;;Каталог/Строительство и Ремонт/Спецодежда/Защита слуха;;;;;;https://media.rs-online.com/image/upload/F1040922-01;;;;;;;;;;;;;;1006186;7312550061862;;;5382;;;;;;;;;;;Howard Leight;;;;;;;;;;;1006186;;HL400-AM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;safety harness;;;;<p>Эргономичная привязь с уникальной H-образной конструкцией для максимальной свободы движений плечевого пояса. Оснащена передними петлями и задним D-образным кольцом, а также водоотталкивающей лентой для долговечности.9</p>;true;true;;;;Каталог/Строительство и Ремонт/Спецодежда/Страховочные системы;;;;;;https://honeywell.scene7.com/is/image/Honeywell65/sps-hppe-brp900-1011893;;;;;;;;;;;;;;1011893-RU;;;;9000;;;;;;;;;;;Sperian;;;;;;;;;;;1011893-RU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;safety harness;;;;<p>Универсальная привязь, предназначенная для страховки от падения и позиционирования в рабочем пространстве. Укомплектована спинной точкой крепления, боковыми кольцами на поясе и регулировочными пряжками для надежной подгонки.13</p>;true;true;;;;Каталог/Строительство и Ремонт/Спецодежда/Страховочные системы;;;;;;https://honeywell.scene7.com/is/image/Honeywell65/sps-hppe-brp900-1011894;;;;;;;;;;;;;;1011894-RU;7312550118948;;;8580;;;;;;;;;;;Sperian;;;;;;;;;;;1011894-RU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;H910 Plus Particulate Respirator;;;;<p>Наушники противошумные EARMUFF LEIGHTNING L1N с оголовьем на шею обеспечивают защиту слуха в шумных условиях. Они удобны и легки, что делает их идеальными для длительного использования.</p>;true;true;;;;Каталог/Строительство и Ремонт/Спецодежда/Защита слуха;;;;;;https://honeywell.scene7.com/is/image/Honeywell65/sps-hppe-brp900-1010922;;;;;;;;;;;;;;1011994;7312550119945;;;1112;;;;;;;;;;;Howard Leight;;;;;;;;;;;1011994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;hearing protection;;;;<p>Наушники противошумные EARMUFF-LEIGHTNING L1H обеспечивают надежную защиту слуха. Они удобны в ношении и подходят для использования в различных промышленных условиях.</p>;true;true;;;;Каталог/Строительство и Ремонт/Спецодежда/Защита слуха;;;;;;https://i.ebayimg.com/images/g/WBgAAOSw4F5aDH0q/s-l300.jpg;;;;;;;;;;;;;;1012539;7312550125397;;;1682;;;;;;;;;;;Howard Leight;;;;;;;;;;;1012539;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
