Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «6ES7193+4CA50+0AA0», по месяцам, 01.01.2018 — 31.07.2025, Россия, СНГ (исключая Россию), все устройства
январь 2018;17;0,000000225;
февраль 2018;11;0,000000145;
март 2018;17;0,000000208;
апрель 2018;10;0,000000135;
май 2018;19;0,000000260;
июнь 2018;8;0,000000119;
июль 2018;35;0,000000516;
август 2018;23;0,000000334;
сентябрь 2018;12;0,000000153;
октябрь 2018;27;0,000000299;
ноябрь 2018;36;0,000000433;
декабрь 2018;19;0,000000227;
январь 2019;34;0,000000394;
февраль 2019;38;0,000000462;
март 2019;19;0,000000221;
апрель 2019;32;0,000000396;
май 2019;18;0,000000233;
июнь 2019;16;0,000000226;
июль 2019;11;0,000000153;
август 2019;13;0,000000183;
сентябрь 2019;21;0,000000273;
октябрь 2019;44;0,000000510;
ноябрь 2019;20;0,000000230;
декабрь 2019;10;0,000000111;
январь 2020;17;0,000000181;
февраль 2020;29;0,000000322;
март 2020;16;0,000000166;
апрель 2020;10;0,000000085;
май 2020;41;0,000000389;
июнь 2020;36;0,000000412;
июль 2020;21;0,000000254;
август 2020;14;0,000000170;
сентябрь 2020;20;0,000000214;
октябрь 2020;25;0,000000235;
ноябрь 2020;17;0,000000150;
декабрь 2020;22;0,000000202;
январь 2021;22;0,000000214;
февраль 2021;23;0,000000233;
март 2021;14;0,000000130;
апрель 2021;19;0,000000178;
май 2021;14;0,000000137;
июнь 2021;13;0,000000132;
июль 2021;16;0,000000167;
август 2021;34;0,000000344;
сентябрь 2021;28;0,000000264;
октябрь 2021;19;0,000000169;
ноябрь 2021;30;0,000000261;
декабрь 2021;19;0,000000162;
январь 2022;16;0,000000135;
февраль 2022;18;0,000000154;
март 2022;45;0,000000357;
апрель 2022;39;0,000000331;
май 2022;27;0,000000229;
июнь 2022;40;0,000000378;
июль 2022;40;0,000000390;
август 2022;59;0,000000558;
сентябрь 2022;45;0,000000391;
октябрь 2022;37;0,000000303;
ноябрь 2022;58;0,000000467;
декабрь 2022;48;0,000000387;
январь 2023;54;0,000000445;
февраль 2023;60;0,000000533;
март 2023;80;0,000000652;
апрель 2023;41;0,000000360;
май 2023;41;0,000000368;
июнь 2023;63;0,000000625;
июль 2023;38;0,000000383;
август 2023;68;0,000000689;
сентябрь 2023;20;0,000000189;
октябрь 2023;37;0,000000315;
ноябрь 2023;64;0,000000554;
декабрь 2023;41;0,000000348;
январь 2024;43;0,000000362;
февраль 2024;57;0,000000515;
март 2024;97;0,000000853;
апрель 2024;81;0,000000757;
май 2024;44;0,000000419;
июнь 2024;50;0,000000543;
июль 2024;80;0,000000873;
август 2024;63;0,000000685;
сентябрь 2024;48;0,000000490;
октябрь 2024;64;0,000000578;
ноябрь 2024;106;0,000000926;
декабрь 2024;53;0,000000448;
январь 2025;110;0,000000943;
февраль 2025;111;0,000000990;
март 2025;60;0,000000509;
апрель 2025;64;0,000000571;
май 2025;39;0,000000372;
июнь 2025;53;0,000000521;
июль 2025;72;0,000000692;
