Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «6ES7132+4BD01+0AA0», по месяцам, 01.01.2018 — 31.07.2025, Россия, СНГ (исключая Россию), все устройства
январь 2018;10;0,000000132;
февраль 2018;11;0,000000145;
март 2018;15;0,000000183;
апрель 2018;6;0,000000081;
май 2018;0;0;
июнь 2018;0;0;
июль 2018;10;0,000000147;
август 2018;0;0;
сентябрь 2018;0;0;
октябрь 2018;0;0;
ноябрь 2018;0;0;
декабрь 2018;0;0;
январь 2019;0;0;
февраль 2019;7;0,000000085;
март 2019;8;0,000000093;
апрель 2019;0;0;
май 2019;10;0,000000129;
июнь 2019;14;0,000000198;
июль 2019;7;0,000000097;
август 2019;10;0,000000141;
сентябрь 2019;0;0;
октябрь 2019;6;0,000000069;
ноябрь 2019;13;0,000000149;
декабрь 2019;0;0;
январь 2020;5;0,000000053;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;0;0;
май 2020;0;0;
июнь 2020;17;0,000000194;
июль 2020;8;0,000000097;
август 2020;15;0,000000182;
сентябрь 2020;7;0,000000075;
октябрь 2020;6;0,000000056;
ноябрь 2020;12;0,000000106;
декабрь 2020;8;0,000000073;
январь 2021;5;0,000000048;
февраль 2021;5;0,000000050;
март 2021;0;0;
апрель 2021;8;0,000000075;
май 2021;8;0,000000078;
июнь 2021;6;0,000000061;
июль 2021;4;0,000000041;
август 2021;14;0,000000141;
сентябрь 2021;6;0,000000056;
октябрь 2021;0;0;
ноябрь 2021;0;0;
декабрь 2021;0;0;
январь 2022;7;0,000000059;
февраль 2022;18;0,000000154;
март 2022;31;0,000000246;
апрель 2022;25;0,000000212;
май 2022;19;0,000000161;
июнь 2022;12;0,000000113;
июль 2022;19;0,000000185;
август 2022;13;0,000000123;
сентябрь 2022;10;0,000000086;
октябрь 2022;6;0,000000049;
ноябрь 2022;18;0,000000145;
декабрь 2022;23;0,000000185;
январь 2023;17;0,000000140;
февраль 2023;21;0,000000186;
март 2023;34;0,000000277;
апрель 2023;17;0,000000149;
май 2023;18;0,000000161;
июнь 2023;16;0,000000158;
июль 2023;26;0,000000262;
август 2023;7;0,000000070;
сентябрь 2023;10;0,000000094;
октябрь 2023;10;0,000000085;
ноябрь 2023;15;0,000000129;
декабрь 2023;15;0,000000127;
январь 2024;24;0,000000202;
февраль 2024;22;0,000000198;
март 2024;25;0,000000220;
апрель 2024;20;0,000000186;
май 2024;30;0,000000285;
июнь 2024;36;0,000000391;
июль 2024;32;0,000000349;
август 2024;16;0,000000174;
сентябрь 2024;38;0,000000388;
октябрь 2024;16;0,000000144;
ноябрь 2024;39;0,000000340;
декабрь 2024;16;0,000000135;
январь 2025;19;0,000000162;
февраль 2025;28;0,000000249;
март 2025;43;0,000000365;
апрель 2025;18;0,000000160;
май 2025;0;0;
июнь 2025;14;0,000000137;
июль 2025;18;0,000000173;
