Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «6ES7131+4BD01+0AB0», по месяцам, 01.01.2018 — 31.07.2025, Россия, СНГ (исключая Россию), все устройства
январь 2018;0;0;
февраль 2018;9;0,000000119;
март 2018;0;0;
апрель 2018;6;0,000000081;
май 2018;7;0,000000095;
июнь 2018;16;0,000000238;
июль 2018;12;0,000000176;
август 2018;12;0,000000174;
сентябрь 2018;9;0,000000115;
октябрь 2018;0;0;
ноябрь 2018;15;0,000000180;
декабрь 2018;8;0,000000095;
январь 2019;8;0,000000092;
февраль 2019;0;0;
март 2019;18;0,000000209;
апрель 2019;15;0,000000185;
май 2019;8;0,000000103;
июнь 2019;9;0,000000127;
июль 2019;6;0,000000083;
август 2019;0;0;
сентябрь 2019;6;0,000000078;
октябрь 2019;0;0;
ноябрь 2019;14;0,000000161;
декабрь 2019;6;0,000000066;
январь 2020;10;0,000000106;
февраль 2020;0;0;
март 2020;15;0,000000155;
апрель 2020;6;0,000000051;
май 2020;0;0;
июнь 2020;15;0,000000171;
июль 2020;15;0,000000182;
август 2020;6;0,000000072;
сентябрь 2020;8;0,000000085;
октябрь 2020;0;0;
ноябрь 2020;0;0;
декабрь 2020;7;0,000000064;
январь 2021;11;0,000000107;
февраль 2021;12;0,000000121;
март 2021;17;0,000000158;
апрель 2021;16;0,000000150;
май 2021;17;0,000000166;
июнь 2021;13;0,000000132;
июль 2021;10;0,000000104;
август 2021;24;0,000000243;
сентябрь 2021;12;0,000000113;
октябрь 2021;10;0,000000089;
ноябрь 2021;8;0,000000069;
декабрь 2021;8;0,000000068;
январь 2022;8;0,000000067;
февраль 2022;0;0;
март 2022;17;0,000000135;
апрель 2022;12;0,000000101;
май 2022;15;0,000000127;
июнь 2022;8;0,000000075;
июль 2022;25;0,000000243;
август 2022;24;0,000000227;
сентябрь 2022;23;0,000000200;
октябрь 2022;18;0,000000147;
ноябрь 2022;29;0,000000233;
декабрь 2022;30;0,000000242;
январь 2023;18;0,000000148;
февраль 2023;31;0,000000275;
март 2023;28;0,000000228;
апрель 2023;13;0,000000114;
май 2023;10;0,000000089;
июнь 2023;16;0,000000158;
июль 2023;35;0,000000353;
август 2023;42;0,000000425;
сентябрь 2023;30;0,000000283;
октябрь 2023;30;0,000000255;
ноябрь 2023;24;0,000000207;
декабрь 2023;14;0,000000119;
январь 2024;23;0,000000193;
февраль 2024;26;0,000000234;
март 2024;26;0,000000228;
апрель 2024;15;0,000000140;
май 2024;37;0,000000352;
июнь 2024;29;0,000000315;
июль 2024;34;0,000000371;
август 2024;13;0,000000141;
сентябрь 2024;23;0,000000235;
октябрь 2024;27;0,000000244;
ноябрь 2024;26;0,000000227;
декабрь 2024;39;0,000000330;
январь 2025;10;0,000000085;
февраль 2025;31;0,000000276;
март 2025;34;0,000000288;
апрель 2025;48;0,000000428;
май 2025;31;0,000000295;
июнь 2025;38;0,000000373;
июль 2025;10;0,000000096;
