Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «140CPS11420», по месяцам, 01.01.2018 — 31.07.2025, Россия, СНГ (исключая Россию), все устройства
январь 2018;23;0,000000304;
февраль 2018;10;0,000000132;
март 2018;29;0,000000355;
апрель 2018;28;0,000000380;
май 2018;20;0,000000274;
июнь 2018;14;0,000000208;
июль 2018;6;0,000000088;
август 2018;29;0,000000422;
сентябрь 2018;6;0,000000076;
октябрь 2018;25;0,000000277;
ноябрь 2018;9;0,000000108;
декабрь 2018;10;0,000000119;
январь 2019;7;0,000000081;
февраль 2019;13;0,000000158;
март 2019;17;0,000000198;
апрель 2019;18;0,000000222;
май 2019;0;0;
июнь 2019;10;0,000000141;
июль 2019;40;0,000000559;
август 2019;11;0,000000155;
сентябрь 2019;16;0,000000208;
октябрь 2019;12;0,000000139;
ноябрь 2019;16;0,000000184;
декабрь 2019;10;0,000000111;
январь 2020;11;0,000000117;
февраль 2020;14;0,000000155;
март 2020;16;0,000000166;
апрель 2020;8;0,000000068;
май 2020;11;0,000000104;
июнь 2020;8;0,000000091;
июль 2020;5;0,000000060;
август 2020;13;0,000000157;
сентябрь 2020;6;0,000000064;
октябрь 2020;11;0,000000103;
ноябрь 2020;11;0,000000097;
декабрь 2020;8;0,000000073;
январь 2021;19;0,000000184;
февраль 2021;15;0,000000152;
март 2021;15;0,000000139;
апрель 2021;8;0,000000075;
май 2021;11;0,000000107;
июнь 2021;24;0,000000245;
июль 2021;10;0,000000104;
август 2021;0;0;
сентябрь 2021;12;0,000000113;
октябрь 2021;13;0,000000115;
ноябрь 2021;9;0,000000078;
декабрь 2021;9;0,000000076;
январь 2022;0;0;
февраль 2022;10;0,000000085;
март 2022;24;0,000000190;
апрель 2022;13;0,000000110;
май 2022;16;0,000000135;
июнь 2022;24;0,000000227;
июль 2022;28;0,000000273;
август 2022;22;0,000000208;
сентябрь 2022;25;0,000000217;
октябрь 2022;19;0,000000156;
ноябрь 2022;5;0,000000040;
декабрь 2022;16;0,000000129;
январь 2023;14;0,000000115;
февраль 2023;26;0,000000231;
март 2023;11;0,000000089;
апрель 2023;13;0,000000114;
май 2023;0;0;
июнь 2023;16;0,000000158;
июль 2023;21;0,000000211;
август 2023;45;0,000000455;
сентябрь 2023;27;0,000000255;
октябрь 2023;34;0,000000289;
ноябрь 2023;9;0,000000077;
декабрь 2023;0;0;
январь 2024;13;0,000000109;
февраль 2024;10;0,000000090;
март 2024;0;0;
апрель 2024;11;0,000000102;
май 2024;12;0,000000114;
июнь 2024;10;0,000000108;
июль 2024;11;0,000000120;
август 2024;0;0;
сентябрь 2024;17;0,000000173;
октябрь 2024;16;0,000000144;
ноябрь 2024;19;0,000000165;
декабрь 2024;15;0,000000126;
январь 2025;19;0,000000162;
февраль 2025;37;0,000000330;
март 2025;34;0,000000288;
апрель 2025;22;0,000000196;
май 2025;32;0,000000305;
июнь 2025;8;0,000000078;
июль 2025;0;0;
