Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «LC1F400M7», по месяцам, 01.01.2018 — 31.07.2025, Россия, СНГ (исключая Россию), все устройства
январь 2018;21;0,000000278;
февраль 2018;28;0,000000371;
март 2018;28;0,000000343;
апрель 2018;40;0,000000543;
май 2018;24;0,000000329;
июнь 2018;26;0,000000387;
июль 2018;44;0,000000648;
август 2018;34;0,000000494;
сентябрь 2018;26;0,000000333;
октябрь 2018;22;0,000000244;
ноябрь 2018;38;0,000000457;
декабрь 2018;20;0,000000238;
январь 2019;23;0,000000267;
февраль 2019;32;0,000000389;
март 2019;39;0,000000454;
апрель 2019;21;0,000000260;
май 2019;41;0,000000531;
июнь 2019;20;0,000000283;
июль 2019;25;0,000000349;
август 2019;16;0,000000225;
сентябрь 2019;27;0,000000351;
октябрь 2019;27;0,000000313;
ноябрь 2019;17;0,000000196;
декабрь 2019;29;0,000000322;
январь 2020;40;0,000000426;
февраль 2020;27;0,000000300;
март 2020;46;0,000000478;
апрель 2020;27;0,000000230;
май 2020;30;0,000000284;
июнь 2020;41;0,000000469;
июль 2020;36;0,000000436;
август 2020;38;0,000000461;
сентябрь 2020;22;0,000000235;
октябрь 2020;56;0,000000528;
ноябрь 2020;50;0,000000442;
декабрь 2020;39;0,000000358;
январь 2021;24;0,000000233;
февраль 2021;43;0,000000436;
март 2021;25;0,000000233;
апрель 2021;15;0,000000140;
май 2021;32;0,000000313;
июнь 2021;51;0,000000520;
июль 2021;47;0,000000491;
август 2021;36;0,000000364;
сентябрь 2021;55;0,000000519;
октябрь 2021;37;0,000000329;
ноябрь 2021;19;0,000000165;
декабрь 2021;27;0,000000230;
январь 2022;26;0,000000220;
февраль 2022;26;0,000000222;
март 2022;27;0,000000214;
апрель 2022;26;0,000000220;
май 2022;20;0,000000169;
июнь 2022;27;0,000000255;
июль 2022;29;0,000000283;
август 2022;24;0,000000227;
сентябрь 2022;29;0,000000252;
октябрь 2022;29;0,000000238;
ноябрь 2022;31;0,000000249;
декабрь 2022;22;0,000000177;
январь 2023;36;0,000000296;
февраль 2023;9;0,000000080;
март 2023;27;0,000000220;
апрель 2023;34;0,000000298;
май 2023;12;0,000000107;
июнь 2023;8;0,000000079;
июль 2023;13;0,000000131;
август 2023;8;0,000000081;
сентябрь 2023;11;0,000000104;
октябрь 2023;13;0,000000110;
ноябрь 2023;22;0,000000190;
декабрь 2023;19;0,000000161;
январь 2024;7;0,000000058;
февраль 2024;11;0,000000099;
март 2024;34;0,000000299;
апрель 2024;19;0,000000177;
май 2024;19;0,000000181;
июнь 2024;17;0,000000184;
июль 2024;9;0,000000098;
август 2024;38;0,000000413;
сентябрь 2024;22;0,000000224;
октябрь 2024;0;0;
ноябрь 2024;21;0,000000183;
декабрь 2024;14;0,000000118;
январь 2025;12;0,000000102;
февраль 2025;28;0,000000249;
март 2025;15;0,000000127;
апрель 2025;5;0,000000044;
май 2025;9;0,000000085;
июнь 2025;13;0,000000127;
июль 2025;0;0;
