Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «5SY6106+7», по месяцам, 01.01.2018 — 31.07.2025, Россия, СНГ (исключая Россию), все устройства
январь 2018;13;0,00000017;
февраль 2018;25;0,00000033;
март 2018;20;0,00000024;
апрель 2018;24;0,00000032;
май 2018;21;0,00000028;
июнь 2018;16;0,00000023;
июль 2018;20;0,00000029;
август 2018;20;0,00000029;
сентябрь 2018;31;0,00000039;
октябрь 2018;40;0,00000044;
ноябрь 2018;32;0,00000038;
декабрь 2018;26;0,00000031;
январь 2019;20;0,00000023;
февраль 2019;22;0,00000026;
март 2019;26;0,00000030;
апрель 2019;33;0,00000040;
май 2019;43;0,00000055;
июнь 2019;36;0,00000050;
июль 2019;40;0,00000055;
август 2019;37;0,00000052;
сентябрь 2019;41;0,00000053;
октябрь 2019;32;0,00000037;
ноябрь 2019;25;0,00000028;
декабрь 2019;26;0,00000028;
январь 2020;21;0,00000022;
февраль 2020;26;0,00000028;
март 2020;28;0,00000029;
апрель 2020;24;0,00000020;
май 2020;26;0,00000024;
июнь 2020;36;0,00000041;
июль 2020;29;0,00000035;
август 2020;23;0,00000027;
сентябрь 2020;37;0,00000039;
октябрь 2020;24;0,00000022;
ноябрь 2020;28;0,00000024;
декабрь 2020;15;0,00000013;
январь 2021;21;0,00000020;
февраль 2021;28;0,00000028;
март 2021;44;0,00000041;
апрель 2021;33;0,00000030;
май 2021;29;0,00000028;
июнь 2021;26;0,00000026;
июль 2021;28;0,00000029;
август 2021;37;0,00000037;
сентябрь 2021;24;0,00000022;
октябрь 2021;18;0,00000016;
ноябрь 2021;37;0,00000032;
декабрь 2021;29;0,00000024;
январь 2022;27;0,00000022;
февраль 2022;37;0,00000031;
март 2022;44;0,00000034;
апрель 2022;35;0,00000029;
май 2022;53;0,00000045;
июнь 2022;35;0,00000033;
июль 2022;29;0,00000028;
август 2022;53;0,00000050;
сентябрь 2022;26;0,00000022;
октябрь 2022;43;0,00000035;
ноябрь 2022;31;0,00000024;
декабрь 2022;27;0,00000021;
январь 2023;32;0,00000026;
февраль 2023;27;0,00000024;
март 2023;28;0,00000022;
апрель 2023;34;0,00000029;
май 2023;33;0,00000029;
июнь 2023;21;0,00000020;
июль 2023;35;0,00000035;
август 2023;38;0,00000038;
сентябрь 2023;18;0,00000017;
октябрь 2023;28;0,00000023;
ноябрь 2023;35;0,00000030;
декабрь 2023;28;0,00000023;
январь 2024;14;0,00000011;
февраль 2024;29;0,00000026;
март 2024;30;0,00000026;
апрель 2024;40;0,00000037;
май 2024;22;0,00000020;
июнь 2024;31;0,00000033;
июль 2024;17;0,00000018;
август 2024;17;0,00000018;
сентябрь 2024;24;0,00000024;
октябрь 2024;18;0,00000016;
ноябрь 2024;44;0,00000038;
декабрь 2024;40;0,00000033;
январь 2025;18;0,00000015;
февраль 2025;31;0,00000027;
март 2025;34;0,00000028;
апрель 2025;20;0,00000017;
май 2025;42;0,00000040;
июнь 2025;21;0,00000020;
июль 2025;23;0,00000022;
