keyword,date,count
140CPS11420,2018-01-01,23
140CPS11420,2018-02-01,10
140CPS11420,2018-03-01,29
140CPS11420,2018-04-01,28
140CPS11420,2018-05-01,20
140CPS11420,2018-06-01,14
140CPS11420,2018-07-01,6
140CPS11420,2018-08-01,29
140CPS11420,2018-09-01,6
140CPS11420,2018-10-01,25
140CPS11420,2018-11-01,9
140CPS11420,2018-12-01,10
140CPS11420,2019-01-01,7
140CPS11420,2019-02-01,13
140CPS11420,2019-03-01,17
140CPS11420,2019-04-01,18
140CPS11420,2019-05-01,0
140CPS11420,2019-06-01,10
140CPS11420,2019-07-01,40
140CPS11420,2019-08-01,11
140CPS11420,2019-09-01,16
140CPS11420,2019-10-01,12
140CPS11420,2019-11-01,16
140CPS11420,2019-12-01,10
140CPS11420,2020-01-01,11
140CPS11420,2020-02-01,14
140CPS11420,2020-03-01,16
140CPS11420,2020-04-01,8
140CPS11420,2020-05-01,11
140CPS11420,2020-06-01,8
140CPS11420,2020-07-01,5
140CPS11420,2020-08-01,13
140CPS11420,2020-09-01,6
140CPS11420,2020-10-01,11
140CPS11420,2020-11-01,11
140CPS11420,2020-12-01,8
140CPS11420,2021-01-01,19
140CPS11420,2021-02-01,15
140CPS11420,2021-03-01,15
140CPS11420,2021-04-01,8
140CPS11420,2021-05-01,11
140CPS11420,2021-06-01,24
140CPS11420,2021-07-01,10
140CPS11420,2021-08-01,0
140CPS11420,2021-09-01,12
140CPS11420,2021-10-01,13
140CPS11420,2021-11-01,9
140CPS11420,2021-12-01,9
140CPS11420,2022-01-01,0
140CPS11420,2022-02-01,10
140CPS11420,2022-03-01,24
140CPS11420,2022-04-01,13
140CPS11420,2022-05-01,16
140CPS11420,2022-06-01,24
140CPS11420,2022-07-01,28
140CPS11420,2022-08-01,22
140CPS11420,2022-09-01,25
140CPS11420,2022-10-01,19
140CPS11420,2022-11-01,5
140CPS11420,2022-12-01,16
140CPS11420,2023-01-01,14
140CPS11420,2023-02-01,26
140CPS11420,2023-03-01,11
140CPS11420,2023-04-01,13
140CPS11420,2023-05-01,0
140CPS11420,2023-06-01,16
140CPS11420,2023-07-01,21
140CPS11420,2023-08-01,45
140CPS11420,2023-09-01,27
140CPS11420,2023-10-01,34
140CPS11420,2023-11-01,9
140CPS11420,2023-12-01,0
140CPS11420,2024-01-01,13
140CPS11420,2024-02-01,10
140CPS11420,2024-03-01,0
140CPS11420,2024-04-01,11
140CPS11420,2024-05-01,12
140CPS11420,2024-06-01,10
