rank,lot_id,score_10,cqr,core_ratio,total_effective_usd,toxic_anchor,top3_capital_map
1,10,7.85,0.771912,0.861342,4082956.10,NO,fire_safety:54.4%; hvac_components:45.6%
2,3,7.59,0.765588,0.847751,3679024.83,NO,gas_safety:66.8%; it_hardware:17.1%; unknown:16.1%
3,25,7.28,0.535654,0.841987,556850.75,NO,unknown:92.9%; gas_safety:7.1%
4,6,7.26,0.461121,0.737490,1256211.65,YES,it_hardware:43.6%; industrial_sensors:38.7%; unknown:17.7%
5,29,7.24,1.000000,0.805187,295176.53,NO,gas_safety:63.5%; fire_safety:36.5%
6,8,7.22,0.500000,0.768637,961946.93,NO,unknown:100.0%
7,16,7.05,0.542547,0.803724,276310.46,NO,unknown:91.5%; fire_safety:8.5%
8,14,7.05,0.500000,0.890128,3296260.46,NO,unknown:100.0%
9,26,7.05,0.500000,0.809674,1772669.35,NO,unknown:100.0%
10,7,7.00,0.273384,0.774135,699019.59,YES,it_hardware:76.1%; fire_safety:15.5%; unknown:8.4%
11,21,6.99,0.564762,0.826637,416649.35,NO,unknown:78.9%; fire_safety:16.6%; it_hardware:4.5%
12,32,6.94,0.500000,0.934064,2261282.12,NO,unknown:100.0%
13,11,6.86,0.500000,0.890266,1161115.30,NO,construction_supplies:100.0%
14,19,6.85,0.275997,0.788126,1561631.27,NO,it_hardware:56.0%; unknown:44.0%
15,17,6.84,0.271036,0.901428,3435079.93,YES,it_hardware:57.2%; unknown:42.8%
16,27,6.67,0.500000,0.777862,1149289.42,NO,unknown:100.0%
17,28,6.62,0.500000,0.781238,704825.70,NO,unknown:100.0%
18,13,6.59,0.483600,0.743180,832997.10,NO,unknown:88.1%; it_hardware:8.4%; gas_safety:3.5%
19,9,6.58,0.245863,0.939898,9557241.86,YES,it_hardware:63.5%; hvac_components:36.5%
20,12,6.56,0.600384,0.741623,881782.04,NO,unknown:72.5%; gas_safety:17.6%; fire_safety:2.6%
21,24,6.54,0.100000,0.793290,2834321.21,YES,it_hardware:100.0%
22,18,6.50,0.100000,0.832166,8588504.34,NO,it_hardware:100.0%
23,23,6.49,0.500000,0.737500,646835.14,NO,unknown:100.0%
24,15,6.44,1.000000,0.783594,1370149.19,NO,gas_safety:100.0%
25,4,6.32,0.100000,0.802644,2477158.28,YES,it_hardware:100.0%
26,2,6.30,0.100000,0.874399,43429795.84,YES,it_hardware:100.0%
27,30,6.27,0.559818,0.814137,861182.05,NO,unknown:88.0%; fire_safety:12.0%
28,1,5.84,0.100000,0.980168,22818241.36,YES,it_hardware:100.0%
29,20,5.66,0.572956,0.884469,735588.77,NO,unknown:79.2%; industrial_sensors:20.8%
30,33,4.93,0.500000,0.987503,92681268.99,NO,unknown:100.0%
31,22,4.93,0.100000,0.809983,1158128.91,YES,it_hardware:100.0%
32,31,3.97,0.500000,0.978012,11803093.07,NO,unknown:100.0%
33,5,3.73,0.100000,0.974719,19067848.83,YES,it_hardware:100.0%
